dish_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,calorie_label
Noodle Bowl with Char Siu,600,30.0,20.0,70.0,🔴 高卡
Rice with Fish Patties,600,30.0,20.0,80.0,🔴 高卡
Stir-fried noodles,150,3.0,5.0,25.0,🟡 中卡
Stir-fried Pork with Vegetables,350,20.0,15.0,40.0,🔴 高卡
Braised Beef with Eggs,600,40.0,30.0,20.0,🔴 高卡
Sweet Potatoes,180,4.0,0.3,41.0,🟡 中卡
Pepperoni Pizza with Fries,800,30.0,35.0,90.0,🔴 高卡
Lychee,66,0.8,0.2,16.5,🟢 低卡
Okonomiyaki,600,25.0,30.0,50.0,🔴 高卡
Mixed Rice Plate,600,30.0,20.0,70.0,🔴 高卡
Egg Fried Rice,350,12.0,10.0,50.0,🔴 高卡
Sushi and Sashimi Platter,800,60.0,30.0,50.0,🔴 高卡
Seafood Stew,600,40.0,25.0,50.0,🔴 高卡
Assorted Beef Cuts,600,50.0,40.0,5.0,🔴 高卡
Sweet and Sour Pork,600,25.0,30.0,50.0,🔴 高卡
Tomato,22,1.1,0.2,4.8,🟢 低卡
Cooked Fish,200,25.0,10.0,0.0,🟡 中卡
Fried Anchovies,250,20.0,15.0,10.0,🔴 高卡
Stir-fried rice with vegetables and meat,600,30.0,20.0,70.0,🔴 高卡
Flatbread with vegetables,350,10.0,15.0,40.0,🔴 高卡
Braised Meat with Sides,600,50.0,30.0,40.0,🔴 高卡
Salmon Sushi,300,20.0,10.0,30.0,🔴 高卡
Fufu with Meat Stew,700,40.0,30.0,80.0,🔴 高卡
Steamed Buns,300,6.0,10.0,45.0,🔴 高卡
Stir-fried Greens,150,4.0,5.0,25.0,🟡 中卡
Rice Porridge with Fried Dough,600,15.0,20.0,80.0,🔴 高卡
Vegetable Stir-Fry with Noodles,250,10.0,7.0,40.0,🔴 高卡
Peach,68,1.0,0.4,17.0,🟢 低卡
Sweet and Sour Chicken,400,25.0,20.0,30.0,🔴 高卡
Vegetable Tofu Soup,250,15.0,10.0,30.0,🔴 高卡
Beef Stir-Fry,350,25.0,15.0,20.0,🔴 高卡
Fried Noodles,600,15.0,20.0,80.0,🔴 高卡
Assorted Appetizers,800,30.0,45.0,60.0,🔴 高卡
Scrambled Eggs with Green Peppers,300,18.0,20.0,5.0,🔴 高卡
Durian,357,3.8,13.3,66.3,🔴 高卡
Mango slices,150,1.5,0.5,37.0,🟡 中卡
Dumplings in Spicy Sauce,400,20.0,15.0,50.0,🔴 高卡
Stir-fried Chicken with Vegetables,350,25.0,15.0,30.0,🔴 高卡
Meat Pie,600,25.0,35.0,50.0,🔴 高卡
Grilled Plantains,200,3.0,5.0,35.0,🟡 中卡
Passion Fruit Salad,150,2.0,1.0,35.0,🟡 中卡
Mixed Berries,150,1.5,0.5,35.0,🟡 中卡
Noodles with bread,600,20.0,15.0,85.0,🔴 高卡
Peanuts,567,25.8,49.2,16.1,🔴 高卡
Rice with Meat Curry,600,30.0,20.0,70.0,🔴 高卡
Creamy Dessert,250,5.0,10.0,35.0,🔴 高卡
Sauce Beef Flavor Sunflower Seeds,200,6.0,16.0,8.0,🟡 中卡
Cherry Tomatoes,30,1.5,0.4,6.0,🟢 低卡
Grilled Meat with Rice and Salad,800,40.0,30.0,100.0,🔴 高卡
Shrimp and Asparagus Stir-Fry,350,25.0,10.0,30.0,🔴 高卡
Hearty Meat Soup,450,30.0,20.0,40.0,🔴 高卡
Spicy Shrimp,250,30.0,10.0,5.0,🔴 高卡
Grilled Steak,600,50.0,35.0,20.0,🔴 高卡
Fried Snacks,600,10.0,30.0,70.0,🔴 高卡
Boiled Meat,250,20.0,15.0,0.0,🔴 高卡
Mixed Meat Rice Bowl,700,40.0,25.0,80.0,🔴 高卡
Chocolate Cake,350,4.0,15.0,50.0,🔴 高卡
Mixed Meat and Rice Dish,600,40.0,30.0,50.0,🔴 高卡
Seafood Paella,600,30.0,15.0,80.0,🔴 高卡
Stir-fried vegetables with eggs and meat,600,30.0,20.0,70.0,🔴 高卡
Beef Noodle Bowl,800,50.0,30.0,80.0,🔴 高卡
Mixed Vegetable and Meat Dish with Rice,600,30.0,20.0,80.0,🔴 高卡
Stir-fried Jicama,150,3.0,7.0,20.0,🟡 中卡
Stir-fried vegetables with rice,600,30.0,20.0,80.0,🔴 高卡
Fruit Jelly Soup,150,1.0,0.5,35.0,🟡 中卡
Potato and Meat Stir-fry,350,20.0,15.0,40.0,🔴 高卡
Noodles with sauce,600,20.0,15.0,85.0,🔴 高卡
Stir-fried meat,250,20.0,15.0,10.0,🔴 高卡
Rice Rolls,300,15.0,10.0,40.0,🔴 高卡
Braised Short Ribs,600,50.0,40.0,10.0,🔴 高卡
Potato Sticks,250,3.0,15.0,30.0,🔴 高卡
Shrimp Stir-Fried Noodles,600,25.0,20.0,80.0,🔴 高卡
Strawberries,32,0.7,0.3,7.7,🟢 低卡
Meat and Potato Stew,600,40.0,25.0,50.0,🔴 高卡
Beef Rice Bowl,700,40.0,25.0,80.0,🔴 高卡
Meat Stew with Dumplings,600,40.0,30.0,50.0,🔴 高卡
Stir-fried Beans with Green Onions,200,10.0,5.0,30.0,🟡 中卡
Shrimp Noodle Soup,450,25.0,15.0,60.0,🔴 高卡
Lotus Root Soup,150,3.0,1.5,35.0,🟡 中卡
Stir-fried Potatoes,300,5.0,15.0,40.0,🔴 高卡
Sesame Flatbread,300,8.0,15.0,35.0,🔴 高卡
Vegetable Salad,150,3.0,5.0,25.0,🟡 中卡
Grilled Tofu Skewers,250,20.0,15.0,10.0,🔴 高卡
Decorated Cake,350,5.0,15.0,50.0,🔴 高卡
Porridge with side dishes,600,30.0,20.0,80.0,🔴 高卡
Spicy Noodle Soup,450,25.0,20.0,50.0,🔴 高卡
Fruit Cake,350,5.0,15.0,50.0,🔴 高卡
Milk Mantou,200,5.0,2.5,40.0,🟡 中卡
Cooked Plantains,150,1.5,0.5,35.0,🟡 中卡
Ice Cream Cone,250,4.0,10.0,36.0,🔴 高卡
Spicy Vegetable Mix,250,15.0,10.0,30.0,🔴 高卡
Rice Cake,250,4.0,5.0,45.0,🔴 高卡
Soft Drink with Snacks,250,5.0,10.0,35.0,🔴 高卡
Grilled Chicken Skewers,250,20.0,15.0,5.0,🔴 高卡
Onigiri,250,6.0,5.0,45.0,🔴 高卡
Noodle Bowl with Fried Chicken,800,25.0,30.0,100.0,🔴 高卡
Steamed Meatballs,250,20.0,15.0,10.0,🔴 高卡
French Fries with Ketchup,400,5.0,20.0,60.0,🔴 高卡
Fruit Crepe and Yogurt Parfait,450,10.0,15.0,65.0,🔴 高卡
Shredded Beef,600,50.0,30.0,0.0,🔴 高卡
Mixed Vegetable and Fruit Plate,450,15.0,10.0,80.0,🔴 高卡
Edamame and Ground Meat Stir-Fry,450,30.0,20.0,40.0,🔴 高卡
Oysters on the half shell,200,20.0,5.0,10.0,🟡 中卡
Cheesecake,250,6.0,10.0,35.0,🔴 高卡
Mixed Meat Soup,600,40.0,30.0,50.0,🔴 高卡
Stir-fried Green Beans,150,4.0,7.0,20.0,🟡 中卡
Seafood and Vegetable Stir-fry,600,40.0,20.0,60.0,🔴 高卡
Steamed Chicken,300,30.0,15.0,0.0,🔴 高卡
Cake,250,3.0,10.0,35.0,🔴 高卡
Mixed Plate with Fried Chicken,800,40.0,30.0,90.0,🔴 高卡
Butter Toast,250,5.0,10.0,35.0,🔴 高卡
Fried Chicken and Fries,800,30.0,40.0,80.0,🔴 高卡
Sautéed Zucchini,120,3.0,8.0,10.0,🟡 中卡
Honeycomb,304,0.3,0.0,82.4,🔴 高卡
Fresh Milk,640,32.0,32.0,48.0,🔴 高卡
Beef and Tofu Stir-fry,600,40.0,30.0,20.0,🔴 高卡
Fried Dough Balls,300,5.0,15.0,40.0,🔴 高卡
Dried Fish,200,30.0,10.0,0.0,🟡 中卡
Grilled Chicken with Rice and Vegetables,600,30.0,20.0,70.0,🔴 高卡
Croissant,400,8.0,22.0,45.0,🔴 高卡
Milk,150,8.0,8.0,12.0,🟡 中卡
Pear,102,0.6,0.3,27.6,🟡 中卡
Steamed Broccoli,55,4.0,0.6,11.2,🟢 低卡
Chocolate Mousse,300,5.0,20.0,30.0,🔴 高卡
Grapes,104,1.1,0.2,27.3,🟡 中卡
Fruit Danish,250,5.0,10.0,35.0,🔴 高卡
Fried Chicken Sandwich,450,25.0,20.0,40.0,🔴 高卡
Macarons,300,5.0,10.0,45.0,🔴 高卡
Grilled Chicken,400,30.0,25.0,0.0,🔴 高卡
Fried Fish with Dipping Sauces,600,50.0,30.0,10.0,🔴 高卡
Macarons and Sweet Tea,400,5.0,15.0,65.0,🔴 高卡
Chocolate Crepes with Berries,400,8.0,15.0,60.0,🔴 高卡
Mixed Indonesian Dishes,800,50.0,30.0,100.0,🔴 高卡
Steamed Corn Cake,250,5.0,10.0,35.0,🔴 高卡
Red Velvet Cake,350,5.0,15.0,50.0,🔴 高卡
Spicy Chicken Noodles,600,40.0,30.0,50.0,🔴 高卡
Snack Nuts,200,5.0,10.0,25.0,🟡 中卡
Soft Serve Ice Cream,250,4.0,10.0,36.0,🔴 高卡
Pani Puri,600,15.0,20.0,90.0,🔴 高卡
Glazed Chicken,350,25.0,20.0,10.0,🔴 高卡
Instant Noodles,200,10.0,0.5,40.0,🟡 中卡
Chicken Salad,350,30.0,15.0,20.0,🔴 高卡
Pomelo and Grapefruit,150,2.0,0.5,38.0,🟡 中卡
Beef Omelet,600,40.0,30.0,50.0,🔴 高卡
Seaweed Salad with Egg,350,12.0,20.0,30.0,🔴 高卡
Corn,31,1.0,0.4,7.0,🟢 低卡
Grilled Meat and Shrimp Platter,600,50.0,30.0,20.0,🔴 高卡
Birthday Cake,250,3.0,10.0,35.0,🔴 高卡
Rice with sauce,600,20.0,15.0,90.0,🔴 高卡
Spring Rolls,300,6.0,15.0,35.0,🔴 高卡
Chicken and Vegetable Stew,450,30.0,15.0,50.0,🔴 高卡
Mixed Seafood and Pork Dish,800,50.0,30.0,70.0,🔴 高卡
Grilled Skewers with Eggs,600,40.0,30.0,50.0,🔴 高卡
Sweet and Sour Vegetables,350,10.0,15.0,45.0,🔴 高卡
Braised Pork Rice,600,40.0,30.0,50.0,🔴 高卡
Sliced Chicken,250,25.0,15.0,0.0,🔴 高卡
Char Siu (Chinese BBQ Pork),250,20.0,15.0,5.0,🔴 高卡
Creamy Shrimp Stew,450,30.0,25.0,20.0,🔴 高卡
Noodles with Dumplings,600,15.0,20.0,80.0,🔴 高卡
Stir-fried Edamame and Chicken,350,25.0,15.0,30.0,🔴 高卡
Noodle Soup with Meat,800,40.0,30.0,100.0,🔴 高卡
Stir-fried Tofu,350,25.0,20.0,30.0,🔴 高卡
Fried Chicken Strips,400,20.0,25.0,30.0,🔴 高卡
Braised Eel,300,20.0,15.0,30.0,🔴 高卡
Watermelon slices,150,3.0,0.5,38.0,🟡 中卡
Grilled Lamb Chops,800,70.0,60.0,0.0,🔴 高卡
Spicy Seafood Stew,600,25.0,30.0,50.0,🔴 高卡
Spicy Chicken Dish,450,35.0,20.0,30.0,🔴 高卡
Korean BBQ Pork,600,40.0,30.0,50.0,🔴 高卡
Shrimp Toast,600,35.0,25.0,50.0,🔴 高卡
Shrimp Pancakes,300,20.0,15.0,30.0,🔴 高卡
Fried Sticks,300,5.0,15.0,40.0,🔴 高卡
Sausages with dipping sauce,300,15.0,25.0,5.0,🔴 高卡
Fried Rice,600,20.0,15.0,90.0,🔴 高卡
Bibimbap,600,30.0,20.0,80.0,🔴 高卡
Stir-fried Chicken with Mushrooms,450,30.0,20.0,40.0,🔴 高卡
Cold Noodle Salad,450,25.0,15.0,60.0,🔴 高卡
Dried Chicken Feet,250,20.0,15.0,0.0,🔴 高卡
Meat Soup,300,25.0,20.0,5.0,🔴 高卡
Fruit Salad,150,2.0,2.0,35.0,🟡 中卡
Stir-fried Green Peppers with Meat,350,25.0,15.0,30.0,🔴 高卡
Sliced Pork,250,15.0,20.0,0.0,🔴 高卡
Roasted Pea Snack,150,6.0,5.0,20.0,🟡 中卡
Stuffed Bread,350,20.0,15.0,40.0,🔴 高卡
Spicy Fish,600,40.0,30.0,20.0,🔴 高卡
Kinder Surprise Egg,110,1.5,6.0,12.0,🟡 中卡
Seafood Stir-Fry,600,30.0,20.0,70.0,🔴 高卡
Spicy Pork with Rice,600,40.0,30.0,50.0,🔴 高卡
Bread,250,8.0,3.0,45.0,🔴 高卡
Healthy Mixed Plate,600,40.0,30.0,50.0,🔴 高卡
Spicy Braised Meat,600,30.0,40.0,10.0,🔴 高卡
Pea Shoots,35,3.0,0.4,6.0,🟢 低卡
Spaghetti Carbonara,600,20.0,25.0,70.0,🔴 高卡
Stir-fried Green Beans with Eggs and Meat,450,30.0,20.0,40.0,🔴 高卡
Mango Sticky Rice,400,5.0,10.0,80.0,🔴 高卡
Soft Drink,150,0.0,0.0,39.0,🟡 中卡
Cucumber-flavored potato chips,683,6.0,36.0,84.0,🔴 高卡
Bamboo Shoots,50,2.0,0.5,12.0,🟢 低卡
Orange,47,0.9,0.1,12.0,🟢 低卡
Spicy Soup,250,10.0,15.0,20.0,🔴 高卡
Shrimp Fried Rice,600,25.0,15.0,85.0,🔴 高卡
Fried Eggs with Soup,800,40.0,50.0,30.0,🔴 高卡
Braised Pork Hocks,600,30.0,40.0,20.0,🔴 高卡
Pasta with Cheese,400,12.0,10.0,60.0,🔴 高卡
Red Braised Pork,500,25.0,35.0,10.0,🔴 高卡
Roasted Chicken with Vegetables,800,60.0,45.0,30.0,🔴 高卡
Steamed Shrimp,200,30.0,3.5,5.0,🟡 中卡
Processed Food Slice,150,3.0,5.0,20.0,🟡 中卡
Clam Stir-fry with Vegetables and Meat Soup,600,40.0,20.0,50.0,🔴 高卡
Cooked Chicken Wings,300,25.0,20.0,0.0,🔴 高卡
Curry Rice with Kimchi,600,20.0,15.0,90.0,🔴 高卡
Stuffed French Toast,400,10.0,20.0,50.0,🔴 高卡
Fluffy Pancake,250,6.0,8.0,40.0,🔴 高卡
Grilled Steak with Garlic,600,50.0,40.0,10.0,🔴 高卡
Fruit and Nut Bar,150,3.0,6.0,20.0,🟡 中卡
Spicy Fish Stew with Rice,800,40.0,30.0,100.0,🔴 高卡
Fruit Salad with Dressing,350,5.0,20.0,40.0,🔴 高卡
Rice Porridge,300,10.0,5.0,55.0,🔴 高卡
Zucchini,66,5.2,1.2,13.2,🟢 低卡
Stir-fried meat with rice,600,30.0,20.0,80.0,🔴 高卡
Crawfish Boil,250,20.0,5.0,0.0,🔴 高卡
Chicken Stew,450,30.0,20.0,35.0,🔴 高卡
Assorted Desserts,300,5.0,15.0,40.0,🔴 高卡
Sweet Rolls,300,5.0,10.0,45.0,🔴 高卡
Fruit platter,250,2.0,1.0,65.0,🔴 高卡
Stir-fried mixed dishes,600,40.0,30.0,50.0,🔴 高卡
Corn on the cob,150,5.0,2.0,30.0,🟡 中卡
Chicken with Rice and Vegetables,600,40.0,20.0,70.0,🔴 高卡
Sashimi Platter,600,50.0,30.0,10.0,🔴 高卡
Spicy Lobster Stir-Fry,600,40.0,25.0,30.0,🔴 高卡
Omelette Sandwich,600,25.0,30.0,50.0,🔴 高卡
Chicken Noodle Stir Fry,600,30.0,20.0,70.0,🔴 高卡
Noodles with Sauce,600,25.0,20.0,80.0,🔴 高卡
Noodle Dish,400,12.0,10.0,60.0,🔴 高卡
Fried Chicken with Spices,600,40.0,30.0,50.0,🔴 高卡
Burgers with Coffee,800,35.0,40.0,60.0,🔴 高卡
Fish Stew,300,25.0,15.0,10.0,🔴 高卡
Decorated Cupcakes,250,3.0,10.0,35.0,🔴 高卡
Beef with Rice,600,50.0,30.0,40.0,🔴 高卡
Mixed Chinese Meal,800,50.0,40.0,60.0,🔴 高卡
Longan,150,1.0,0.5,37.0,🟡 中卡
Chicken Fried Rice with Egg,600,30.0,20.0,70.0,🔴 高卡
Spicy Shrimp Dish,600,40.0,20.0,50.0,🔴 高卡
Green Vegetables,50,2.0,0.5,10.0,🟢 低卡
Stir-fried Snap Peas,70,5.0,0.5,12.0,🟢 低卡
Cooked Greens with Shrimp,150,10.0,5.0,20.0,🟡 中卡
Rice with Egg Yolk,350,12.0,10.0,55.0,🔴 高卡
Stir-Fried Chicken,350,25.0,15.0,20.0,🔴 高卡
Chicken Soup,250,20.0,10.0,15.0,🔴 高卡
Steamed Fish,350,30.0,15.0,20.0,🔴 高卡
Borscht,150,4.0,5.0,25.0,🟡 中卡
Lemon Cream Cookie,150,2.0,5.0,25.0,🟡 中卡
Spicy Vegetable Salad,150,3.0,10.0,15.0,🟡 中卡
Raw Onion,40,1.1,0.1,9.3,🟢 低卡
Stir-fried beef with vegetables and sautéed greens,600,30.0,20.0,80.0,🔴 高卡
Seafood Platter,600,40.0,20.0,50.0,🔴 高卡
Shrimp Stir-Fry,300,25.0,10.0,15.0,🔴 高卡
Tomato and Egg Stir-fry,300,15.0,20.0,10.0,🔴 高卡
Noodle Salad,350,12.0,10.0,55.0,🔴 高卡
Strawberry Cake,350,5.0,15.0,50.0,🔴 高卡
Beef and Zucchini Stir-Fry,600,30.0,20.0,70.0,🔴 高卡
Limes,30,0.5,0.2,10.0,🟢 低卡
Oats,389,16.9,6.9,66.3,🔴 高卡
Fast Food Meal,800,30.0,40.0,80.0,🔴 高卡
Packaged Chicken,150,10.0,5.0,15.0,🟡 中卡
Fried Fish,250,20.0,15.0,10.0,🔴 高卡
Whole Milk,125,8.0,7.5,12.0,🟡 中卡
Spicy Meat Stir-fry,600,45.0,35.0,10.0,🔴 高卡
Stir-fried vegetables with meat,600,40.0,30.0,50.0,🔴 高卡
Glazed Chicken Wings,400,30.0,25.0,5.0,🔴 高卡
Stir-fried vegetables with beef and rice,800,40.0,30.0,100.0,🔴 高卡
Fish in Sauce,350,30.0,20.0,10.0,🔴 高卡
Custard Tart,300,6.0,15.0,35.0,🔴 高卡
Banh Mi,600,30.0,25.0,60.0,🔴 高卡
Fried Meat,600,30.0,40.0,20.0,🔴 高卡
Hot Dog with Egg,300,10.0,15.0,30.0,🔴 高卡
Spicy Whole Fish,600,50.0,30.0,10.0,🔴 高卡
Packaged Snack,250,5.0,10.0,35.0,🔴 高卡
Fried Fish or Chicken,600,25.0,30.0,50.0,🔴 高卡
Chicken Curry with Rice,700,40.0,30.0,80.0,🔴 高卡
Grilled Vegetable Patties,250,5.0,10.0,35.0,🔴 高卡
Chicken Pizza,285,12.0,10.5,36.0,🔴 高卡
Spicy Beef Stir-fry,450,30.0,25.0,20.0,🔴 高卡
Cooked or Raw Vegetable,50,1.0,0.1,12.0,🟢 低卡
